,name,mean,std,median,min,max
0,?bidos,0.539804220199585,0.7822249531745911,0.2931711673736572,-0.6856052875518799,2.1702427864074707
1,?gua Azul do Norte,0.2023492306470871,0.11859932541847229,0.1627514809370041,0.05623801052570343,0.4192679226398468
2,?gua Boa,1.3736114501953125,0.7740644216537476,1.3975025415420532,-0.11165359616279602,2.5972695350646973
3,?gua Branca,,,,,
4,?gua Clara,-0.873077929019928,0.15949971973896027,-0.8587784767150879,-1.2276743650436401,-0.5664355158805847
5,?gua Comprida,-1.0217982530593872,0.0,-1.0217982530593872,-1.0217982530593872,-1.0217982530593872
6,?gua Doce,0.4570382535457611,0.47745269536972046,0.6237198114395142,-0.1929633617401123,0.9403583407402039
7,?gua Doce do Maranh?o,-0.6812716722488403,0.0,-0.6812716722488403,-0.6812716722488403,-0.6812716722488403
8,?gua Doce do Norte,0.758532702922821,0.0,0.758532702922821,0.758532702922821,0.758532702922821
9,?gua Fria,0.14470548927783966,0.0,0.14470548927783966,0.14470548927783966,0.14470548927783966
10,?gua Fria de Goi?s,0.20155204832553864,0.06340119987726212,0.23227821290493011,0.11324037611484528,0.2591375410556793
11,?gua Limpa,-0.5070375800132751,0.0,-0.5070375800132751,-0.5070375800132751,-0.5070375800132751
12,?gua Nova,,,,,
13,?gua Preta,-0.06452760100364685,0.0,-0.06452760100364685,-0.06452760100364685,-0.06452760100364685
14,?gua Santa,-0.1773776412010193,0.0,-0.1773776412010193,-0.1773776412010193,-0.1773776412010193
15,?guas Belas,1.1661860942840576,0.15044420957565308,1.1661860942840576,1.0157418251037598,1.316630244255066
16,?guas Formosas,0.8195384740829468,0.0,0.8195384740829468,0.8195384740829468,0.8195384740829468
17,?guas Frias,,,,,
18,?guas Lindas de Goi?s,-1.2935208082199097,0.0,-1.2935208082199097,-1.2935208082199097,-1.2935208082199097
19,?guas Mornas,-1.2455854415893555,0.0,-1.2455854415893555,-1.2455854415893555,-1.2455854415893555
20,?guas Vermelhas,0.8585914969444275,0.0,0.8585914969444275,0.8585914969444275,0.8585914969444275
21,?guas da Prata,,,,,
22,?guas de Chapec?,,,,,
23,?guas de Lind?ia,,,,,
24,?guas de S?o Pedro,,,,,
25,?guas de Santa B?rbara,-0.40231961011886597,0.0,-0.40231961011886597,-0.40231961011886597,-0.40231961011886597
26,?guia Branca,0.35359135270118713,0.0,0.35359135270118713,0.35359135270118713,0.35359135270118713
27,?leo,,,,,
28,?lvares Florence,-1.4952341318130493,0.0,-1.4952341318130493,-1.4952341318130493,-1.4952341318130493
29,?lvares Machado,,,,,
30,?lvaro de Carvalho,,,,,
31,?ngulo,,,,,
32,?rico Cardoso,0.20605653524398804,0.0,0.20605653524398804,0.20605653524398804,0.20605653524398804
33,?urea,,,,,
34,A?ail?ndia,-0.8500889539718628,0.28208357095718384,-0.7804098725318909,-1.3575328588485718,-0.38869041204452515
35,A?u,1.559342622756958,0.1071481704711914,1.559342622756958,1.4521944522857666,1.6664907932281494
36,A?ucena,1.9353373050689697,0.4014885425567627,1.9353373050689697,1.533848762512207,2.3368258476257324
37,Aba?ra,0.9095516204833984,0.0,0.9095516204833984,0.9095516204833984,0.9095516204833984
38,Abadi?nia,-1.0026698112487793,0.2973708510398865,-1.0026698112487793,-1.300040602684021,-0.705298900604248
39,Abadia de Goi?s,-0.8530863523483276,0.0,-0.8530863523483276,-0.8530863523483276,-0.8530863523483276
40,Abadia dos Dourados,-0.7003462910652161,0.0,-0.7003462910652161,-0.7003462910652161,-0.7003462910652161
41,Abaet?,1.254245400428772,0.06264297664165497,1.2403141260147095,1.1854438781738281,1.3369780778884888
42,Abaetetuba,0.3922451138496399,0.15425901114940643,0.3922451138496399,0.23798611760139465,0.5465041399002075
43,Abaiara,,,,,
44,Abar?,0.2943200170993805,0.0,0.2943200170993805,0.2943200170993805,0.2943200170993805
45,Abati?,,,,,
46,Abdon Batista,,,,,
47,Abel Figueiredo,-0.4105788767337799,0.0,-0.4105788767337799,-0.4105788767337799,-0.4105788767337799
