date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-05-01T00:00:00,TPCP,GHCND:BR037041370,974,0,0,Brazil,TPCP
2010-05-01T00:00:00,TPCP,GHCND:BR038484280,182,0,0,Brazil,TPCP
2010-05-01T00:00:00,TPCP,GHCND:BR038837530,596,0,0,Brazil,TPCP
2010-05-01T00:00:00,TPCP,GHCND:BR038983570,815,0,0,Brazil,TPCP
2010-05-01T00:00:00,TPCP,GHCND:BRM00082193,1379,0,0,Brazil,TPCP
2010-05-01T00:00:00,TPCP,GHCND:BRM00082361,1696,0,0,Brazil,TPCP
2010-05-01T00:00:00,TPCP,GHCND:BRM00083208,471,0,0,Brazil,TPCP
2010-05-01T00:00:00,TPCP,GHCND:BRM00083566,221,0,0,Brazil,TPCP
2010-05-01T00:00:00,TPCP,GHCND:BRM00083827,1006,0,0,Brazil,TPCP
2010-06-01T00:00:00,TPCP,GHCND:BR000082861,145,0,0,Brazil,TPCP
2010-06-01T00:00:00,TPCP,GHCND:BR000352000,715,0,0,Brazil,TPCP
2010-06-01T00:00:00,TPCP,GHCND:BR000956000,79,0,0,Brazil,TPCP
2010-06-01T00:00:00,TPCP,GHCND:BR00E3-0520,139,0,0,Brazil,TPCP
2010-06-01T00:00:00,TPCP,GHCND:BR037041370,620,0,0,Brazil,TPCP
2010-06-01T00:00:00,TPCP,GHCND:BR038484280,1765,0,0,Brazil,TPCP
2010-06-01T00:00:00,TPCP,GHCND:BR038837530,529,0,0,Brazil,TPCP
2010-06-01T00:00:00,TPCP,GHCND:BR038983570,5331,0,0,Brazil,TPCP
2010-06-01T00:00:00,TPCP,GHCND:BRM00082193,1010,0,0,Brazil,TPCP
2010-06-01T00:00:00,TPCP,GHCND:BRM00082361,300,0,0,Brazil,TPCP
2010-06-01T00:00:00,TPCP,GHCND:BRM00083566,23,0,0,Brazil,TPCP
2010-06-01T00:00:00,TPCP,GHCND:BRM00083827,432,0,0,Brazil,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BR000082400,1150,0,0,Brazil,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BR000352000,325,0,0,Brazil,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BR000956000,40,0,0,Brazil,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BR002143012,205,0,0,Brazil,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BR00E3-0520,698,0,0,Brazil,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BR037041370,35,0,0,Brazil,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BR038484280,334,0,0,Brazil,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BR038837530,350,0,0,Brazil,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BR038983570,1749,0,0,Brazil,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BRM00082193,537,0,0,Brazil,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BRM00082361,30,0,0,Brazil,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BRM00083208,0,0,0,Brazil,TPCP
2010-07-01T00:00:00,TPCP,GHCND:BRM00083827,1110,0,0,Brazil,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BR000082400,353,0,0,Brazil,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BR000352000,449,0,0,Brazil,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BR000956000,61,0,0,Brazil,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BR002143012,0,0,0,Brazil,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BR00E3-0520,28,0,0,Brazil,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BR037041370,0,0,0,Brazil,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BR038484280,861,0,0,Brazil,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BR038837530,321,0,0,Brazil,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BR038983570,1638,0,0,Brazil,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BRM00082193,1227,0,0,Brazil,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BRM00082361,91,0,0,Brazil,TPCP
2010-08-01T00:00:00,TPCP,GHCND:BRM00083827,211,0,0,Brazil,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BR000082400,571,0,0,Brazil,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BR000352000,173,0,0,Brazil,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BR000956000,147,0,0,Brazil,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BR002143012,236,0,0,Brazil,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BR00E3-0520,501,0,0,Brazil,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BR037041370,15,0,0,Brazil,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BR038484280,464,0,0,Brazil,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BR038837530,274,0,0,Brazil,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BR038983570,750,0,0,Brazil,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BRM00082193,606,0,0,Brazil,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BRM00083208,0,0,0,Brazil,TPCP
2010-09-01T00:00:00,TPCP,GHCND:BRM00083566,109,0,0,Brazil,TPCP
